Name,Category,Subcategory,Risk,Technology,Standard Ports,Characteristics
104asdu-process-control-type48,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-control-type49,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-control-type50,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-control-type51,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-control-type58,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-control-type59,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-control-type60,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-control-type61,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-control-type62,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-control-type63,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-control-type64,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor,business-systems,management,2,client-server,tcp/2404,has-known-vulnerability pervasive-use
104asdu-process-monitor-type1,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type10,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type11,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type12,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type13,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type14,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type15,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type16,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type17,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type18,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type19,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type2,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type20,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type21,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type3,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type30,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type31,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type32,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type33,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type34,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type35,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type36,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type37,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type38,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type39,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type4,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type40,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type5,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type6,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type7,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type8,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-monitor-type9,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-system-control,business-systems,management,2,client-server,tcp/2404,has-known-vulnerability pervasive-use
104asdu-system-control-type100,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-system-control-type101,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-system-control-type102,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-system-control-type103,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-system-control-type104,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-system-control-type105,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-system-control-type106,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-system-control-type107,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-system-monitor,business-systems,management,2,client-server,tcp/2404,has-known-vulnerability pervasive-use
104asdu-system-monitor-type70,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
1c-enterprise,business-systems,erp-crm,1,client-server,"tcp/1541,1560-1591",pervasive-use
1und1-mail,collaboration,email,3,browser-based,"tcp/80,443",able-to-transfer-file has-known-vulnerability pervasive-use
24sevenoffice,business-systems,erp-crm,2,browser-based,"tcp/80,443",able-to-transfer-file has-known-vulnerability
2ch-base,collaboration,social-networking,2,browser-based,"tcp/80,443",has-known-vulnerability pervasive-use
2ch-posting,collaboration,web-posting,2,browser-based,"tcp/80,443",has-known-vulnerability pervasive-use
360-safeguard-update,business-systems,software-update,2,client-server,"tcp/80,8090 udp/dynamic",evasive-behavior has-known-vulnerability
3pc,networking,ip-protocol,1,network-protocol,
4shared,general-internet,file-sharing,4,browser-based,"tcp/80,443",evasive-behavior consume-big-bandwidth able-to-transfer-file has-known-vulnerability pervasive-use
4sync,general-internet,file-sharing,3,client-server,"tcp/80,443",evasive-behavior able-to-transfer-file pervasive-use
51.com-base,collaboration,social-networking,2,browser-based,"tcp/80,dynamic",has-known-vulnerability pervasive-use
51.com-bbs,collaboration,web-posting,2,browser-based,tcp/80,has-known-vulnerability pervasive-use
51.com-games,media,gaming,2,browser-based,tcp/80,has-known-vulnerability pervasive-use
51.com-mail,collaboration,email,1,browser-based,tcp/80,has-known-vulnerability
51.com-music,media,audio-streaming,2,browser-based,tcp/80,consume-big-bandwidth has-known-vulnerability pervasive-use
51.com-posting,collaboration,web-posting,2,browser-based,tcp/80,has-known-vulnerability pervasive-use
51.com-webdisk,general-internet,file-sharing,4,browser-based,tcp/80,evasive-behavior consume-big-bandwidth able-to-transfer-file has-known-vulnerability pervasive-use
7shifts,business-systems,management,2,browser-based,"tcp/80,443",able-to-transfer-file has-known-vulnerability
8x8,collaboration,voip-video,4,client-server,"tcp/80,443,636,5199,5222,8243,8343,8443 udp/5199",consume-big-bandwidth used-by-malware able-to-transfer-file has-known-vulnerability
drda,business-systems,database,1,network-protocol,tcp/55000,
abb-network-manager,business-systems,ics-protocols,1,client-server,"tcp/2236,2242,6202,6251,6661-6666 udp/6541,6452,6454,6459,6467,6204,6217,6209",
abb-rp570,business-systems,ics-protocols,1,network-protocol,tcp/dynamic udp/dynamic,
abbott-poca,business-systems,medical,1,client-server,tcp/6004,
absolute-manage,business-systems,management,1,client-server,tcp/dynamic,
accellion,general-internet,file-sharing,4,client-server,"tcp/80,443",used-by-malware able-to-transfer-file has-known-vulnerability
accelo,business-systems,erp-crm,2,browser-based,"tcp/80,443",able-to-transfer-file has-known-vulnerability
access-grid,collaboration,voip-video,3,client-server,"tcp/80,8000,20000,20200,dynamic udp/dynamic",consume-big-bandwidth able-to-transfer-file has-known-vulnerability
acme-protocol,general-internet,internet-utility,1,browser-based,"tcp/80,443",has-known-vulnerability
acronis-snapdeploy,business-systems,management,2,client-server,tcp/dynamic udp/9876,able-to-transfer-file has-known-vulnerability
acronis-cloud-backup,business-systems,storage-backup,2,client-server,"tcp/443,44445,55556",able-to-transfer-file has-known-vulnerability
active-directory-base,business-systems,auth-service,2,client-server,"tcp/1025-5000 tcp/135,138,139,389,445,464,636 tcp/49152-65535 tcp/5722,9389 udp/88,123,137,138,389,445,464,2535",has-known-vulnerability pervasive-use
activenet,networking,ip-protocol,1,network-protocol,
activesync,business-systems,general-business,4,client-server,tcp/443 tcp/80,evasive-behavior able-to-transfer-file has-known-vulnerability pervasive-use
ad-selfservice,business-systems,auth-service,1,browser-based,"tcp/8888,80",has-known-vulnerability
addp-base,business-systems,ics-protocols,1,network-protocol,udp/dynamic,
addp-dhcp-network-config-req,business-systems,ics-protocols,1,network-protocol,udp/dynamic,
addp-dhcp-network-config-resp,business-systems,ics-protocols,1,network-protocol,udp/dynamic,
addp-discovery-request,business-systems,ics-protocols,1,network-protocol,udp/dynamic,
addp-discovery-response,business-systems,ics-protocols,1,network-protocol,udp/dynamic,
addp-reboot-request,business-systems,ics-protocols,1,network-protocol,udp/dynamic,
addp-reboot-response,business-systems,ics-protocols,1,network-protocol,udp/dynamic,
addp-static-network-config-req,business-systems,ics-protocols,1,network-protocol,udp/dynamic,
addp-static-network-config-resp,business-systems,ics-protocols,1,network-protocol,udp/dynamic,
adnstream,media,photo-video,3,browser-based,tcp/80,evasive-behavior consume-big-bandwidth has-known-vulnerability pervasive-use
adobe-cloud,general-internet,file-sharing,2,browser-based,"tcp/443,80",able-to-transfer-file has-known-vulnerability
adobe-meeting,collaboration,internet-conferencing,3,browser-based,"tcp/80,443,1935",evasive-behavior has-known-vulnerability
adobe-meeting-remote-control,networking,remote-access,3,browser-based,"tcp/443,80,1935",evasive-behavior consume-big-bandwidth has-known-vulnerability pervasive-use
adobe-connectnow-base,collaboration,internet-conferencing,2,browser-based,"tcp/80,443,1935",consume-big-bandwidth has-known-vulnerability pervasive-use
adobe-connectnow-file-transfer,general-internet,file-sharing,4,browser-based,tcp/443,evasive-behavior able-to-transfer-file has-known-vulnerability pervasive-use
adobe-connectnow-remote-control,networking,remote-access,1,browser-based,tcp/1935,pervasive-use
adobe-cq,business-systems,general-business,1,client-server,"tcp/4502,4503",has-known-vulnerability
adobe-creative-cloud-base,business-systems,general-business,2,client-server,"tcp/443, 80",able-to-transfer-file has-known-vulnerability
adobe-creative-cloud-uploading,business-systems,general-business,3,client-server,tcp/443,able-to-transfer-file has-known-vulnerability pervasive-use
adobe-echosign,general-internet,internet-utility,2,browser-based,"tcp/80,443",able-to-transfer-file pervasive-use
adobe-flash-socketpolicy-server,general-internet,internet-utility,2,client-server,tcp/dynamic,has-known-vulnerability pervasive-use
adobe-media-player,media,photo-video,2,client-server,"tcp/80,443",evasive-behavior consume-big-bandwidth
adobe-meeting-desktop-sharing,collaboration,internet-conferencing,3,client-server,"tcp/443,80,1935",evasive-behavior consume-big-bandwidth has-known-vulnerability pervasive-use
adobe-meeting-file-transfer,general-internet,file-sharing,4,browser-based,"tcp/443,80,1935",evasive-behavior able-to-transfer-file has-known-vulnerability pervasive-use
adobe-meeting-uploading,general-internet,file-sharing,2,browser-based,"tcp/80,443,1935",able-to-transfer-file has-known-vulnerability
adobe-online-office,business-systems,office-programs,3,browser-based,"tcp/80,443",able-to-transfer-file has-known-vulnerability pervasive-use
adobe-update,business-systems,software-update,2,client-server,"tcp/80,443",able-to-transfer-file pervasive-use
adrive,general-internet,file-sharing,4,browser-based,tcp/443 tcp/80,evasive-behavior consume-big-bandwidth able-to-transfer-file has-known-vulnerability pervasive-use
aeroadmin,networking,remote-access,2,client-server,"tcp/443,8080,5665",able-to-transfer-file has-known-vulnerability
aerofs,general-internet,file-sharing,3,client-server,"tcp/80,443,4433,5222,8888,29438,8084,3478",consume-big-bandwidth able-to-transfer-file has-known-vulnerability
aerospike,business-systems,database,1,client-server,tcp/3000,has-known-vulnerability
afaria,business-systems,management,3,client-server,"tcp/80,443,3007",able-to-transfer-file has-known-vulnerability pervasive-use
afp,business-systems,storage-backup,3,client-server,tcp/548 udp/548,consume-big-bandwidth able-to-transfer-file has-known-vulnerability pervasive-use
afreeca,media,photo-video,4,browser-based,"tcp/80,1935,8000-8150",consume-big-bandwidth used-by-malware able-to-transfer-file has-known-vulnerability pervasive-use
afs,business-systems,storage-backup,3,client-server,"udp/7000-7009,7021",able-to-transfer-file has-known-vulnerability pervasive-use
afterschool,collaboration,social-networking,2,browser-based,"tcp/80,443",able-to-transfer-file has-known-vulnerability
agiloft,business-systems,general-business,2,client-server,"tcp/443,80",able-to-transfer-file has-known-vulnerability
aim-base,collaboration,instant-messaging,4,client-server,"tcp/80,443,5190-5199",used-by-malware has-known-vulnerability pervasive-use
aim-audio,collaboration,voip-video,5,peer-to-peer,udp/dynamic,evasive-behavior used-by-malware able-to-transfer-file has-known-vulnerability pervasive-use
aim-express-base,collaboration,instant-messaging,4,browser-based,tcp/80 tcp/443,evasive-behavior used-by-malware has-known-vulnerability pervasive-use
aim-express-file-transfer,general-internet,file-sharing,3,browser-based,tcp/80,able-to-transfer-file has-known-vulnerability pervasive-use
aim-file-transfer,general-internet,file-sharing,4,peer-to-peer,"tcp/80,443,5190-5199",used-by-malware able-to-transfer-file has-known-vulnerability pervasive-use
aim-mail,collaboration,email,4,browser-based,"tcp/80,443,110,25,587,143,993",used-by-malware able-to-transfer-file has-known-vulnerability pervasive-use
aim-video,collaboration,voip-video,3,peer-to-peer,udp/dynamic tcp/1935,consume-big-bandwidth used-by-malware has-known-vulnerability pervasive-use
air-video,media,audio-streaming,1,client-server,tcp/dynamic,able-to-transfer-file
airaim,collaboration,instant-messaging,2,browser-based,tcp/80,evasive-behavior has-known-vulnerability
airdroid,networking,remote-access,3,browser-based,"tcp/443,80,8090,8765,8888,8889,9000,9081,9088,9096,9100,9200,9990,9991",able-to-transfer-file has-known-vulnerability pervasive-use
airtable-base,business-systems,office-programs,1,browser-based,"tcp/80,443",has-known-vulnerability
airtable-downloading,business-systems,office-programs,2,browser-based,"tcp/80,443",able-to-transfer-file has-known-vulnerability
airtable-editing,business-systems,office-programs,1,browser-based,"tcp/80,443",has-known-vulnerability
airtable-posting,business-systems,office-programs,1,browser-based,"tcp/80,443",has-known-vulnerability
airtable-sharing,business-systems,office-programs,1,browser-based,"tcp/80,443",has-known-vulnerability
airtable-uploading,business-systems,office-programs,2,browser-based,"tcp/80,443",able-to-transfer-file has-known-vulnerability
airtime,collaboration,voip-video,2,browser-based,tcp/dynamic udp/dynamic,consume-big-bandwidth has-known-vulnerability
airwatch,business-systems,management,1,browser-based,"tcp/80,443",has-known-vulnerability
akamai-client,general-internet,file-sharing,3,client-server,tcp/80,consume-big-bandwidth able-to-transfer-file has-known-vulnerability
alaris-dcmp,business-systems,medical,1,client-server,tcp/3613,
alfresco,business-systems,general-business,2,browser-based,"tcp/80,443",able-to-transfer-file has-known-vulnerability
ali-wangwang-base,collaboration,instant-messaging,3,client-server,"tcp/80,dynamic udp/dynamic",evasive-behavior has-known-vulnerability pervasive-use
ali-wangwang-audio-video,collaboration,voip-video,2,client-server,tcp/dynamic udp/dynamic,evasive-behavior consume-big-bandwidth pervasive-use
ali-wangwang-file-transfer,general-internet,file-sharing,3,client-server,tcp/dynamic udp/dynamic,evasive-behavior consume-big-bandwidth able-to-transfer-file pervasive-use
ali-wangwang-remote-control,networking,remote-access,2,client-server,"tcp/443,dynamic udp/dynamic",evasive-behavior pervasive-use
alipay,collaboration,social-business,2,client-server,"tcp/80,443",able-to-transfer-file has-known-vulnerability
alisoft,business-systems,management,3,browser-based,tcp/80,able-to-transfer-file has-known-vulnerability pervasive-use
all-slots-casino,media,gaming,4,client-server,tcp/443 tcp/80,evasive-behavior consume-big-bandwidth has-known-vulnerability pervasive-use
allpeers,general-internet,file-sharing,5,peer-to-peer,tcp/443,evasive-behavior consume-big-bandwidth used-by-malware able-to-transfer-file has-known-vulnerability pervasive-use
alpemix,networking,remote-access,2,client-server,tcp/dynamic udp/dynamic,able-to-transfer-file pervasive-use
alpha-anywhere,business-systems,software-development,1,client-server,tcp/446,has-known-vulnerability
altiris,business-systems,management,1,client-server,tcp/402,
amazon-alexa,general-internet,internet-utility,1,client-server,"tcp/80,443",has-known-vulnerability
amazon-aws-console,business-systems,management,1,browser-based,"tcp/443,80",pervasive-use
amazon-chime,collaboration,internet-conferencing,3,client-server,"tcp/80,443 udp/7200",consume-big-bandwidth able-to-transfer-file has-known-vulnerability
amazon-cloud-drive-base,general-internet,file-sharing,4,browser-based,"tcp/443,80",evasive-behavior consume-big-bandwidth able-to-transfer-file has-known-vulnerability
amazon-cloud-drive-uploading,general-internet,file-sharing,4,browser-based,"tcp/80,443",evasive-behavior consume-big-bandwidth able-to-transfer-file has-known-vulnerability
amazon-cloud-player,media,audio-streaming,3,browser-based,"tcp/443,80",consume-big-bandwidth able-to-transfer-file has-known-vulnerability
amazon-echo,media,audio-streaming,1,client-server,"tcp/80,443",has-known-vulnerability
amazon-instant-video,media,photo-video,3,browser-based,"tcp/80,443",evasive-behavior consume-big-bandwidth has-known-vulnerability pervasive-use
amazon-music-base,media,audio-streaming,1,client-server,"tcp/80,443",has-known-vulnerability
amazon-music-streaming,media,audio-streaming,1,client-server,"tcp/80,443",has-known-vulnerability
amazon-prime-video,media,photo-video,2,browser-based,"tcp/80,443",consume-big-bandwidth has-known-vulnerability
amazon-redshift,business-systems,database,1,client-server,tcp/5439,has-known-vulnerability
amazon-unbox,media,photo-video,4,client-server,tcp/80,evasive-behavior consume-big-bandwidth able-to-transfer-file has-known-vulnerability pervasive-use
amazon-workspace,business-systems,software-development,2,client-server,"tcp/443,4172",consume-big-bandwidth has-known-vulnerability
ameba-blog-posting,collaboration,web-posting,2,browser-based,tcp/80,has-known-vulnerability pervasive-use
ameba-now-base,collaboration,social-networking,4,browser-based,tcp/80,evasive-behavior used-by-malware has-known-vulnerability pervasive-use
ameba-now-posting,collaboration,social-networking,4,browser-based,tcp/80,evasive-behavior used-by-malware has-known-vulnerability pervasive-use
ammyy-admin,networking,remote-access,3,client-server,"tcp/80,443,5931,8080",evasive-behavior able-to-transfer-file
amqp,business-systems,general-business,1,client-server,"tcp/5671,5672",
android-market,general-internet,internet-utility,2,client-server,"tcp/80,443",able-to-transfer-file pervasive-use
ants-p2p,general-internet,file-sharing,5,peer-to-peer,"tcp/443,80,6667 udp/dynamic",evasive-behavior consume-big-bandwidth used-by-malware able-to-transfer-file has-known-vulnerability pervasive-use
any-0hop-protocol,networking,ip-protocol,1,network-protocol,
anydesk,networking,remote-access,1,client-server,"tcp/80,443,7070,6568",
anyterm,general-internet,internet-utility,1,client-server,"tcp/80,443,8080",has-known-vulnerability
aol-messageboard-posting,collaboration,web-posting,1,browser-based,tcp/80,pervasive-use
aol-proxy,networking,proxy,4,client-server,"tcp/80,5192,5190",evasive-behavior able-to-transfer-file has-known-vulnerability
apache-jserv,general-internet,internet-utility,2,client-server,"tcp/8009,8010",has-known-vulnerability pervasive-use
apache-solr,business-systems,management,1,client-server,"tcp/80,443,8983,8984,7574",has-known-vulnerability
apache-zookeeper,business-systems,management,1,client-server,"tcp/2181,3181,4181",pervasive-use
apc-powerchute,business-systems,general-business,2,client-server,tcp/2260 udp/3052,has-known-vulnerability
apex-legends,media,gaming,2,client-server,"tcp/80,443 udp/dynamic",consume-big-bandwidth has-known-vulnerability
aporeto,business-systems,general-business,1,client-server,tcp/dynamic,
appcelerator,business-systems,software-development,4,client-server,tcp/443,used-by-malware able-to-transfer-file has-known-vulnerability
appdynamics,business-systems,erp-crm,1,client-server,tcp/443,has-known-vulnerability
appguru,business-systems,management,1,browser-based,tcp/443,
apple-airplay,media,photo-video,1,client-server,tcp/dynamic udp/dynamic,consume-big-bandwidth pervasive-use
apple-airport,networking,infrastructure,2,network-protocol,udp/192,has-known-vulnerability pervasive-use
apple-appstore,general-internet,internet-utility,4,client-server,"tcp/80,443,dynamic",evasive-behavior able-to-transfer-file has-known-vulnerability pervasive-use
apple-game-center,media,gaming,1,client-server,tcp/443,has-known-vulnerability
apple-location-service,general-internet,internet-utility,2,browser-based,tcp/80,has-known-vulnerability pervasive-use
apple-maps,general-internet,internet-utility,1,client-server,"tcp/80,443",consume-big-bandwidth pervasive-use
apple-push-notifications,general-internet,internet-utility,1,client-server,"tcp/2195,2196,2197,5223,443",pervasive-use
apple-remote-desktop,networking,remote-access,3,client-server,"tcp/5900,3283 udp/3283",able-to-transfer-file has-known-vulnerability pervasive-use
apple-siri,general-internet,internet-utility,1,client-server,"tcp/443,5228",has-known-vulnerability
apple-update,business-systems,software-update,3,client-server,"tcp/80,443",evasive-behavior consume-big-bandwidth able-to-transfer-file pervasive-use
apple-vpp,business-systems,general-business,1,browser-based,tcp/443,pervasive-use
applejuice,general-internet,file-sharing,5,peer-to-peer,"udp/9022,9851 tcp/9022,9851",evasive-behavior consume-big-bandwidth used-by-malware able-to-transfer-file has-known-vulnerability pervasive-use
appletvplus,media,photo-video,2,browser-based,"tcp/443,80",consume-big-bandwidth has-known-vulnerability pervasive-use
appneta,business-systems,management,1,client-server,"tcp/80,8080,443 udp/3239,45056-65535",
appogee,business-systems,management,1,browser-based,"tcp/80,443",has-known-vulnerability
appointy,business-systems,management,1,browser-based,"tcp/80,443",has-known-vulnerability
apptivo,business-systems,erp-crm,1,browser-based,"tcp/80,443",has-known-vulnerability
apt-get,business-systems,management,1,client-server,tcp/80,consume-big-bandwidth pervasive-use
arcgis,business-systems,general-business,2,browser-based,"tcp/80,443,6443,6080,8399",has-known-vulnerability pervasive-use
arcserve,networking,infrastructure,3,client-server,"tcp/6050,445,139,111 udp/6050",consume-big-bandwidth able-to-transfer-file has-known-vulnerability
ares,general-internet,file-sharing,5,peer-to-peer,tcp/dynamic udp/dynamic,evasive-behavior consume-big-bandwidth used-by-malware able-to-transfer-file has-known-vulnerability pervasive-use
argus,networking,ip-protocol,1,network-protocol,
ariel,business-systems,office-programs,2,client-server,"tcp/25,80",able-to-transfer-file
aris,networking,ip-protocol,1,network-protocol,
aruba-papi,networking,infrastructure,1,network-protocol,"udp/8211,8209",pervasive-use
as2,business-systems,general-business,2,client-server,"tcp/80,443,4080,5443",able-to-transfer-file pervasive-use
asana,collaboration,social-business,2,browser-based,"tcp/443,80",able-to-transfer-file has-known-vulnerability
asf-streaming,media,photo-video,5,browser-based,tcp/80,consume-big-bandwidth used-by-malware able-to-transfer-file has-known-vulnerability pervasive-use
ask.fm,collaboration,social-networking,2,browser-based,"tcp/80,443,9977",able-to-transfer-file has-known-vulnerability
asproxy,networking,proxy,5,browser-based,"tcp/80,443",evasive-behavior used-by-malware able-to-transfer-file has-known-vulnerability
assembla-base,business-systems,software-development,1,client-server,"tcp/80, 443",has-known-vulnerability
assembla-uploading,business-systems,software-development,2,client-server,"tcp/80,443",able-to-transfer-file has-known-vulnerability
asterisk-iax,collaboration,voip-video,2,peer-to-peer,udp/4569,has-known-vulnerability pervasive-use
asus-webstorage,general-internet,file-sharing,3,client-server,"tcp/80,443",evasive-behavior consume-big-bandwidth able-to-transfer-file pervasive-use
atempo-tina,business-systems,storage-backup,2,client-server,tcp/2525 udp/2526,consume-big-bandwidth able-to-transfer-file pervasive-use
atlassian-bamboo-cloud,business-systems,software-development,2,browser-based,tcp/443,has-known-vulnerability pervasive-use
atmail,collaboration,email,1,browser-based,"tcp/80,443",
atom,general-internet,internet-utility,4,client-server,tcp/80,used-by-malware able-to-transfer-file has-known-vulnerability pervasive-use
att-connect,collaboration,internet-conferencing,4,client-server,"tcp/80,443",evasive-behavior consume-big-bandwidth able-to-transfer-file has-known-vulnerability pervasive-use
att-locker,general-internet,file-sharing,1,browser-based,"tcp/443,80",has-known-vulnerability
att-office-at-hand,collaboration,voip-video,1,client-server,"tcp/80,443",has-known-vulnerability
authentic8-silo,networking,encrypted-tunnel,2,client-server,tcp/443,
autobahn,general-internet,internet-utility,1,client-server,tcp/80,consume-big-bandwidth
autodesk360-base,business-systems,general-business,1,browser-based,tcp/443,pervasive-use
autodesk360-uploading,business-systems,general-business,2,browser-based,tcp/443,able-to-transfer-file
avamar,business-systems,storage-backup,2,client-server,"tcp/28001,28002,9443, 27000,29000,7778,7779,8778-8781,8181,8444,8543,8580,30001,30002,30003",consume-big-bandwidth able-to-transfer-file
avast-av-update,business-systems,software-update,1,client-server,"tcp/80,443",has-known-vulnerability
avaya-phone-ping,business-systems,management,2,client-server,"udp/2048-3329,16384-32787",has-known-vulnerability pervasive-use
avaya-webalive-base,collaboration,internet-conferencing,1,browser-based,"tcp/dynamic udp/7878,2379",has-known-vulnerability
avaya-webalive-desktop-sharing,collaboration,internet-conferencing,3,browser-based,"tcp/80,1935",evasive-behavior consume-big-bandwidth has-known-vulnerability
